1,B-あ-1,empty,0
2,B-あ-2,013CH232WI-03C SP/126N,4
3,B-あ-3,013CH232W-37C SN/03,5
4,B-あ-4,013CH271I-42C SN/03,2
5,B-い-1,013CH232WI-49C SN/03,3
6,B-い-2,013CH232W-37C SP/122N,25
7,B-い-3,013CH232WI-06C SN/03,2
8,B-い-4,013CH232W-37C SP/126N,14
9,B-う-1,013CH232W-37C SN/01,7
10,B-う-2,013CH232WI-08C SN/02,3
11,B-う-3,013CH232-03C SN/02,1
12,B-う-4,013CH232WI-09C SN/02,4
13,B-え-1,013CH232WI-17C SN/03,8
14,B-え-2,013CH232W-50C SP/122N,1
15,B-え-3,013CH271-37C SP/183,13
16,B-え-4,013CH232WI-07C SN/01,2
17,C-あ-1,013CH232WI-07C SN/03,2
18,C-あ-2,013CH232W-37C SP/180,5
19,C-あ-3,013CH232WI-03C SN/01,1
20,C-あ-4,013CH271I-03C SP/181,3
21,C-い-1,013CH232WI-49C SN/03,3
22,C-い-2,013CH271-37C SN/01,9
23,C-い-3,013CH232WI-08C SN/03,3
24,C-い-4,013CH232W-35C SN/01,8
25,C-う-1,013CH271-35C SP/182,2
26,C-う-2,013CH232WI-03C SP/122N,2
27,C-う-3,013CH232WI-03C SN/03,4
28,C-う-4,013CH271-35C SP/181,11
29,C-え-1,empty,0
30,C-え-2,013CH232W-35C SN/02,5
31,C-え-3,013CH271-37C SP/192,2
32,C-え-4,013CH232W-35C SP/126N,42
33,D-あ-1,013CH271I-03C SP/180,1
34,D-あ-2,013CH232WI-08C SP/126N,3
35,D-あ-3,013CH271I-03C SN/01,2
36,D-あ-4,013CH271I-03C SP/180,1
37,D-い-1,013CH271-37C SN/02,19
38,D-い-2,013CH232W-37C SP/184,2
39,D-い-3,013CH232WI-07C SN/03,3
40,D-い-4,013CH232WI-50C SN/01,2
41,D-う-1,empty,0
42,D-う-2,013CH271I-03C SP/181,4
43,D-う-3,013CH232W-37C SN/03,10
44,D-う-4,013CH232WI-06C SP/122N,3
45,D-え-1,013CH232WI-08C SP/122N,2
46,D-え-2,013CH271I-03C SP/192,1
47,D-え-3,013CH271I-03C SP/181,3
48,D-え-4,013CH232WI-07C SP/126N,1
49,E-あ-1,013CH232WI-50C SP/122N,1
50,E-あ-2,013CH232WI-49C SP/122N,4
51,E-あ-3,013CH232WI-06C SN/01,1
52,E-あ-4,013CH232WI-07C SP/126N,6
53,E-い-1,013CH232WI-17C SP/126N,2
54,E-い-2,013CH232W-35C SP/122N,4
55,E-い-3,013CH271-37C SP/180,11
56,E-い-4,013CH232W-35C SP/126N,30
57,E-う-1,013CH232WI-08C SN/03,3
58,E-う-2,013CH271I-49C SP/126N,3
59,E-う-3,013CH232WI-03C SN/03,1
60,E-う-4,013CH232WI-50C SP/126N,3
61,E-え-1,empty,0
62,E-え-2,013CH232WI-03C SP/181,1
63,E-え-3,013CH232WI-09C SN/02,1
64,E-え-4,013CH232WI-06C SN/03,3
65,F-あ-1,013CH271I-03C SP/183,1
66,F-あ-2,013CH271I-49C SP/184,1
67,F-あ-3,empty,0
68,F-あ-4,013CH271I-49C SP/182,2
69,F-い-1,013CH271I-08C SN/02,3
70,F-い-2,013CH271I-42C SP/182,1
71,F-い-3,013CH232WI-09C SN/03,3
72,F-い-4,013CH232WI-08C SN/01,2
73,F-う-1,013CH271I-06C SP/126N,2
74,F-う-2,013CH271I-07C SP/126N,4
75,F-う-3,013CH271I-41C SN/01,3
76,F-う-4,013CH271I-08C SP/126N,2
77,F-え-1,013CH271I-08C SP/180,4
78,F-え-2,013CH271-35C SP/126N,2
79,F-え-3,013CH271I-08C SP/183,3
80,F-え-4,013CH271I-41C SP/126N,4
81,G-あ-1,013CH271I-41C SP/183,4
82,G-あ-2,013CH271I-42C SP/126N,3
83,G-あ-3,013CH232WI-09C SN/03,3
84,G-あ-4,013CH271I-42C SN/03,3
85,G-い-1,013CH271-37C SN/02,23
86,G-い-2,013CH271I-03C SP/184,4
87,G-い-3,013CH232WI-09C SP/126N,1
88,G-い-4,013CH271I-50C SP/126N,3
89,G-う-1,013CH271I-41C SP/181,2
90,G-う-2,013CH271I-50C SP/182,2
91,G-う-3,013CH271I-49C SN/03,1
92,G-う-4,013CH271-37C SP/181,2
93,G-え-1,013CH271I-09C SP/183,4
94,G-え-2,013CH232WI-09C SN/01,3
95,G-え-3,013CH271I-49C SP/184,3
96,G-え-4,013CH232WI-06C SP/126N,4
97,H-あ-1,013CH271-37C SP/126N,23
98,H-あ-2,013CH232WI-49C SP/126N,4
99,H-あ-3,empty,0
100,H-あ-4,013CH271I-03C SN/02,1
101,H-い-1,013CH232WI-09C SN/01,3
102,H-い-2,013CH271I-03C SN/03,1
103,H-い-3,013CH271I-17C SN/01,1
104,H-い-4,013CH271I-08C SP/126N,4
105,H-う-1,013CH271I-03C SP/183,4
106,H-う-2,013CH232WI-08C SN/03,4
107,H-う-3,013CH232WI-07C SN/02,4
108,H-う-4,013CH271I-03C SN/03,4
109,H-え-1,013CH232WI-50C SP/126N,2
110,H-え-2,013CH232WI-06C SP/180,2
111,H-え-3,013CH271I-41C SP/183,2
112,H-え-4,013CH232WI-07C SP/180,1
113,I-あ-1,013CH232W-35C SP/180,2
114,I-あ-2,013CH271I-08C SP/182,3
115,I-あ-3,013CH271I-17C SN/03,4
116,I-あ-4,013CH232WI-49C SP/180,4
117,I-い-1,013CH271I-09C SP/183,4
118,I-い-2,013CH232WI-50C SP/180,3
119,I-い-3,013CH232WI-06C SP/181,5
120,I-い-4,013CH232WI-07C SP/181,5
121,I-う-1,013CH232WI-09C SN/03,2
122,I-う-2,013CH232WI-17C SP/181,3
123,I-う-3,013CH232W-35C SP/181,7
124,I-う-4,013CH232WI-50C SP/181,2
125,I-え-1,013CH232WI-08C SP/182,2
126,I-え-2,013CH232WI-06C SP/182,5
127,I-え-3,013CH232WI-07C SP/182,2
128,I-え-4,013CH232WI-08C SP/182,4
129,J-あ-1,013CH271I-49C SN/02,3
130,J-あ-2,013CH232W-37C SP/182,10
131,J-あ-3,013CH232WI-50C SP/182,2
132,J-あ-4,013CH232WI-07C SP/183,6
133,J-い-1,013CH271I-49C SN/02,4
134,J-い-2,013CH271I-08C SN/02,4
135,J-い-3,013CH232WI-49C SN/02,3
136,J-い-4,013CH232W-35C SP/183,7
137,J-う-1,013CH271I-49C SP/183,3
138,J-う-2,013CH232WI-50C SN/02,3
139,J-う-3,013CH232W-35C SN/03,1
140,J-う-4,013CH271I-09C SP/126N,4
141,J-え-1,013CH232WI-09C SN/01,1
142,J-え-2,013CH271I-09C SN/02,2
143,J-え-3,013CH271I-17C SP/181,2
144,J-え-4,013CH271I-09C SP/184,2
145,K-あ-1,013CH271I-09C SP/182,4
146,K-あ-2,013CH271I-49C SN/03,4
147,K-あ-3,013CH271I-41C SP/180,2
148,K-あ-4,013CH271I-03C SN/03,3
149,K-い-1,013CH271-35C SP/184,2
150,K-い-2,013CH271I-41C SP/183,4
151,K-い-3,013CH271-35C SP/180,1
152,K-い-4,013CH232W-17C SN/02,1
153,K-う-1,013CH271I-09C SP/181,1
154,K-う-2,013CH271I-50C SN/02,4
155,K-う-3,013CH271I-42C SP/180,1
156,K-う-4,013CH271I-09C SN/02,2
157,K-え-1,013CH271I-17C SP/122N,2
158,K-え-2,013CH271I-50C SP/126N,3
159,K-え-3,013CH271I-42C SP/181,3
160,K-え-4,013CH271I-50C SP/182,2
161,L-あ-1,013CH271I-09C SN/01,1
162,L-あ-2,013CH232WI-49C SP/122N,3
163,L-あ-3,013CH271-37C SP/180,18
164,L-あ-4,013CH232WI-07C SP/122N,4
165,L-い-1,013CH271I-49C SP/180,3
166,L-い-2,013CH232WI-50C SN/03,4
167,L-い-3,013CH271I-50C SP/183,2
168,L-い-4,013CH232WI-17C SN/02,4
169,L-う-1,013CH271I-41C SP/182,4
170,L-う-2,013CH271I-42C SP/182,3
171,L-う-3,013CH271I-17C SP/182,2
172,L-う-4,013CH271I-49C SP/183,3
173,L-え-1,empty,0
174,L-え-2,013CH232WI-50C SN/02,3
175,L-え-3,013CH271I-03C SP/126N,2
176,L-え-4,013CH232WI-50C SP/122N,1
177,M-あ-1,013CH271-37C SP/183,12
178,M-あ-2,013CH271I-09C SP/122N,4
179,M-あ-3,empty,0
180,M-あ-4,013CH232WI-50C SP/126N,1
181,M-い-1,013CH271I-03C SP/122N,2
182,M-い-2,013CH271I-08C SP/184,2
183,M-い-3,013CH271I-49C SN/03,2
184,M-い-4,013CH271-37C SP/184,6
185,M-う-1,empty,0
186,M-う-2,013CH271I-41C SP/182,1
187,M-う-3,013CH271I-03C SP/180,3
188,M-う-4,013CH271-37C SN/03,20
189,M-え-1,empty,0
190,M-え-2,013CH271I-17C SP/184,2
191,M-え-3,013CH271I-03C SN/02,4
192,M-え-4,013CH271I-49C SP/182,1
193,N-あ-1,013CH271I-49C SN/01,1
194,N-あ-2,013CH271I-42C SP/181,2
195,N-あ-3,013CH232WI-49C SN/01,5
196,N-あ-4,013CH232WI-09C SP/122N,1
197,N-い-1,empty,0
198,N-い-2,013CH232WI-50C SN/03,4
199,N-い-3,empty,0
200,N-い-4,013CH232WI-09C SP/122N,2
201,N-う-1,empty,0
202,N-う-2,013CH271I-09C SP/180,3
203,N-う-3,013CH271I-41C SP/122N,2
204,N-う-4,013CH232WI-50C SP/126N,3
205,N-え-1,empty,0
206,N-え-2,empty,0
207,N-え-3,013CH271I-09C SN/02,3
208,N-え-4,013CH271I-09C SN/03,3
209,O-あ-1,013CH232WI-50C SN/01,2
210,O-あ-2,013CH232W-35C SP/184,17
211,O-あ-3,013CH232WI-50C SP/184,4
212,O-あ-4,013CH232WI-50C SP/184,3
213,O-い-1,013CH232WI-17C SP/184,8
214,O-い-2,013CH271I-08C SP/180,1
215,O-い-3,013CH232WI-07C SP/184,3
216,O-い-4,013CH232WI-03C SP/184,1
217,O-う-1,013CH271-35C SN/01,4
218,O-う-2,013CH271I-08C SP/122N,4
219,O-う-3,empty,0
220,O-う-4,013CH232WI-09C SP/126N,1
221,O-え-1,empty,0
222,O-え-2,013CH271-37C SP/122N,20
223,O-え-3,013CH271I-41C SP/126N,1
224,O-え-4,013CH271-35C SP/122N,2
225,P-あ-1,013CH232WI-17C SN/01,2
226,P-あ-2,013CH271I-50C SN/01,1
227,P-あ-3,013CH271I-06C SP/122N,2
228,P-あ-4,013CH271I-07C SP/122N,2
229,P-い-1,013CH271I-08C SN/03,3
230,P-い-2,013CH232WI-06C SN/02,3
231,P-い-3,013CH271I-50C SN/02,4
232,P-い-4,013CH232WI-49C SP/122N,3
233,P-う-1,013CH271I-08C SP/182,1
234,P-う-2,013CH271I-17C SN/02,3
235,P-う-3,013CH271I-42C SP/180,3
236,P-う-4,013CH271I-41C SN/03,3
237,P-え-1,013CH271I-09C SN/03,3
238,P-え-2,013CH232WI-08C SN/01,4
239,P-え-3,empty,0
240,P-え-4,013CH271I-42C SP/183,1
241,Q-あ-1,empty,0
242,Q-あ-2,013CH271I-17C SP/126N,2
243,Q-あ-3,013CH271I-08C SP/183,3
244,Q-あ-4,013CH271-37C SP/182,18
245,Q-い-1,013CH232WI-03C SN/02,4
246,Q-い-2,013CH271I-41C SN/02,1
247,Q-い-3,013CH271I-41C SN/03,3
248,Q-い-4,013CH271I-08C SN/01,2
249,Q-う-1,013CH271I-09C SP/126N,3
250,Q-う-2,013CH271I-09C SP/180,3
251,Q-う-3,empty,0
252,Q-う-4,013CH271I-42C SN/01,3
253,Q-え-1,013CH271I-42C SP/122N,2
254,Q-え-2,013CH232WI-06C SP/184,4
255,Q-え-3,013CH271I-17C SP/183,5
256,Q-え-4,013CH271I-41C SN/02,2
257,R-あ-1,013CH271I-41C SP/181,2
258,R-あ-2,013CH271I-42C SP/183,4
259,R-あ-3,empty,0
260,R-あ-4,013CH271I-03C SP/182,2
261,R-い-1,013CH271I-42C SP/183,4
262,R-い-2,013CH232WI-03C SN/03,5
263,R-い-3,013CH271I-50C SP/184,1
264,R-い-4,013CH232W-37C SN/02,8
265,R-う-1,013CH271I-17C SP/180,6
266,R-う-2,013CH271I-42C SN/02,2
267,R-う-3,013CH271I-41C SP/184,2
268,R-う-4,013CH271I-42C SP/184,3
269,R-え-1,013CH232WI-08C SP/184,4
270,R-え-2,013CH232WI-08C SP/184,4
271,R-え-3,empty,0
272,R-え-4,013CH271I-03C SP/182,2
273,S-あ-1,013CH271I-41C SP/180,3
274,S-あ-2,013CH271I-49C SN/03,4
275,S-あ-3,empty,0
276,S-あ-4,013CH271I-49C SP/183,1
277,S-い-1,empty,0
278,S-い-2,013CH271I-42C SP/181,2
279,S-い-3,empty,0
280,S-い-4,013CH271I-41C SP/206,1
281,S-う-1,013CH271I-49C SN/02,3
282,S-う-2,013CH271I-50C SN/02,2
283,S-う-3,013CH271I-50C SP/122N,4
284,S-う-4,013CH271I-50C SP/181,2
285,S-え-1,013CH271I-49C SP/180,3
286,S-え-2,013CH271I-50C SP/180,3
287,S-え-3,empty,0
288,S-え-4,013CH271I-49C SP/122N,4
289,T-あ-1,empty,0
290,T-あ-2,013CH271I-50C SN/03,2
291,T-あ-3,empty,0
292,T-あ-4,013CH271I-50C SP/183,4
293,T-い-1,empty,0
294,T-い-2,empty,0
295,T-い-3,empty,0
296,T-い-4,empty,0
297,T-う-1,empty,0
298,T-う-2,empty,0
299,T-う-3,empty,0
300,T-う-4,empty,0
301,T-え-1,empty,0
302,T-え-2,empty,0
303,T-え-3,empty,0
304,T-え-4,empty,0
305,U-あ-1,empty,0
306,U-あ-2,empty,0
307,U-あ-3,empty,0
308,U-あ-4,empty,0
309,U-い-1,empty,0
310,U-い-2,empty,0
311,U-い-3,empty,0
312,U-い-4,empty,0
313,U-う-1,empty,0
314,U-う-2,empty,0
315,U-う-3,empty,0
316,U-う-4,empty,0
317,U-え-1,empty,0
318,U-え-2,empty,0
319,U-え-3,empty,0
320,U-え-4,empty,0
321,V-あ-1,empty,0
322,V-あ-2,empty,0
323,V-あ-3,empty,0
324,V-あ-4,empty,0
325,V-い-1,empty,0
326,V-い-2,empty,0
327,V-い-3,empty,0
328,V-い-4,empty,0
329,V-う-1,empty,0
330,V-う-2,empty,0
331,V-う-3,empty,0
332,V-う-4,empty,0
333,V-え-1,empty,0
334,V-え-2,empty,0
335,V-え-3,empty,0
336,V-え-4,013CH232-08C SP/180,15
337,W-あ-1,013CH232-03C SP/184,3
338,W-あ-2,013CH232-06C SP/183,1
339,W-あ-3,013CH232-07C SP/180,1
340,W-あ-4,013CH232-07C SP/182,1
341,W-い-1,013CH232-07C SP/184,1
342,W-い-2,013CH232-08C SP/181,2
343,W-い-3,empty,0
344,W-い-4,013CH232-08C SP/182,7
345,W-う-1,013CH232-08C SP/184,1
346,W-う-2,013CH232-09C SP/180,8
347,W-う-3,013CH232-09C SP/182,1
348,W-う-4,013CH232-09C SP/184,2
349,W-え-1,013CH232-49C SP/126N,2
350,W-え-2,013CH232-49C SP/180,6
351,W-え-3,013CH232-49C SP/181,2
352,W-え-4,013CH232-49C SP/182,7
353,X-あ-1,empty,0
354,X-あ-2,013CH232-49C SP/184,2
355,X-あ-3,013CH232-50C SP/180,12
356,X-あ-4,013CH232-50C SP/181,1
357,X-い-1,013CH232-50C SP/182,4
358,X-い-2,013CH232-50C SP/183,3
359,X-い-3,empty,0
360,X-い-4,empty,0
361,X-う-1,empty,0
362,X-う-2,empty,0
363,X-う-3,empty,0
364,X-う-4,empty,0
365,X-え-1,empty,0
366,X-え-2,empty,0
367,X-え-3,empty,0
368,X-え-4,empty,0
