013CH232W-37C SN/01,1,B-‚¢-2,5
013CH232W-37C SN/03,10,D-‚¢-1,6
013CH232WI-03C SN/02,1,B-‚ -3,0
013CH232WI-08C SN/01,1,P-‚¦-2,2
013CH232WI-09C SN/03,3,B-‚¢-3,0
013CH232WI-50C SN/01,2,K-‚¤-1,2
013CH271-35C SP/181,1,C-‚¤-4,4
013CH271-35C SP/182,5,C-‚¢-1,0
013CH271-35C SP/183,5,C-‚¢-3,0
013CH271-35C SP/184,5,D-‚ -1,0
013CH271-37C SN/03,5,M-‚¤-4,9
013CH271-37C SP/181,10,D-‚¤-4,2
013CH271I-03C SP/180,2,K-‚¤-3,1
013CH271I-08C SP/181,1,N-‚¤-1,1
013CH271I-09C SP/181,2,D-‚ -3,0
013CH271I-17C SN/03,1,I-‚ -3,5
013CH271I-17C SP/181,1,M-‚¤-3,4
013CH271I-41C SN/01,1,F-‚¤-4,1
013CH271I-42C SN/01,2,D-‚¤-1,0
013CH271I-42C SN/03,1,L-‚ -1,2
013CH271I-49C SP/181,1,P-‚¦-4,2
013CH271I-49C SP/183,3,D-‚¦-1,0
013CH271I-50C SN/03,3,E-‚¢-1,0
013CH271I-50C SP/181,1,S-‚¤-2,1
