013CH232W-20NC SP/206,2,C-‚¦-3,0
013CH232W-20NC SP/207,2,D-‚ -3,0
013CH232W-35C SN/01,5,C-‚¢-4,4
013CH232W-35C SN/02,5,C-‚¦-2,6
013CH232W-35C SN/03,5,J-‚ -4,4
013CH232W-37C SN/03,10,F-‚¤-3,0
013CH232WI-03C SN/02,1,F-‚¦-3,0
013CH232WI-03C SN/03,4,H-‚¢-3,0
013CH232WI-03C SN/03,4,I-‚ -3,0
013CH232WI-03C SN/03,2,F-‚¢-3,1
013CH232WI-03C SP/206,3,K-‚¤-3,0
013CH232WI-03C SP/207,3,K-‚¦-1,0
013CH232WI-03C SP/209,3,M-‚¢-3,0
013CH232WI-08C SN/03,2,E-‚¤-3,1
013CH232WI-08C SP/206,3,M-‚¤-3,0
013CH232WI-08C SP/207,3,N-‚¢-1,0
013CH232WI-08C SP/209,3,Q-‚¤-3,0
013CH232WI-09C SN/02,2,G-‚ -4,2
013CH232WI-09C SP/206,3,Q-‚¦-1,0
013CH232WI-09C SP/207,3,R-‚¢-3,0
013CH232WI-09C SP/209,3,G-‚¢-3,1
013CH232WI-17C SP/206,2,G-‚¢-4,3
013CH232WI-17C SP/207,2,G-‚¤-3,4
013CH232WI-17C SP/209,2,G-‚¦-1,4
013CH232WI-49C SN/03,4,T-‚ -1,0
013CH232WI-49C SN/03,1,T-‚ -2,0
013CH232WI-49C SP/206,3,T-‚ -3,0
013CH232WI-49C SP/207,2,H-‚¦-3,1
013CH232WI-49C SP/209,3,T-‚ -4,0
013CH232WI-50C SN/03,4,T-‚¢-1,0
013CH232WI-50C SN/03,1,N-‚¢-3,3
013CH232WI-50C SP/206,3,J-‚¤-2,1
013CH232WI-50C SP/207,2,J-‚¦-3,1
013CH232WI-50C SP/209,3,K-‚¢-2,1
013CH271-37C SN/01,10,L-‚¤-3,10
013CH271-37C SN/02,20,T-‚¢-2,0
013CH271-37C SN/02,10,G-‚¢-1,9
013CH271-37C SN/03,20,T-‚¢-3,0
013CH271-37C SN/03,5,O-‚¤-4,4
013CH271-37C SP/183,10,H-‚ -3,8
013CH271I-03C SN/02,3,T-‚¢-4,0
013CH271I-03C SN/03,2,N-‚ -3,2
013CH271I-08C SN/02,4,T-‚¤-1,0
013CH271I-08C SN/02,1,J-‚¢-2,2
013CH271I-08C SN/03,4,T-‚¤-2,0
013CH271I-08C SN/03,1,P-‚¢-1,3
013CH271I-08C SP/181,1,O-‚¤-3,1
013CH271I-09C SN/02,4,T-‚¤-3,0
013CH271I-09C SN/02,1,N-‚¦-3,3
013CH271I-09C SN/03,4,T-‚¤-4,0
013CH271I-09C SN/03,1,N-‚¦-4,1
013CH271I-09C SP/183,4,T-‚¦-1,0
013CH271I-09C SP/183,3,H-‚¢-4,1
013CH271I-09C SP/184,1,T-‚¦-2,0
013CH271I-17C SN/02,2,P-‚¤-2,2
013CH271I-17C SP/181,2,M-‚¤-4,2
013CH271I-17C SP/183,5,T-‚¦-3,0
013CH271I-41C SN/02,2,T-‚¦-4,0
013CH271I-42C SN/02,2,R-‚¤-2,1
013CH271I-49C SN/01,3,R-‚¦-3,1
013CH271I-49C SN/02,4,U-‚ -1,0
013CH271I-49C SN/02,3,U-‚ -2,0
013CH271I-49C SN/03,4,U-‚ -3,0
013CH271I-49C SN/03,1,S-‚ -2,3
013CH271I-49C SP/183,4,U-‚ -4,0
013CH271I-49C SP/183,1,O-‚¤-1,2
013CH271I-50C SN/01,2,D-‚¢-3,1
013CH271I-50C SN/02,4,U-‚¢-1,0
013CH271I-50C SN/02,3,U-‚¢-2,0
013CH271I-50C SN/03,4,U-‚¢-3,0
013CH271I-50C SN/03,1,Q-‚¢-2,3
013CH271I-50C SP/181,2,S-‚¦-4,1
013CH271I-50C SP/183,2,E-‚¢-1,2
