B-‚¤-3,empty,0
B-‚¦-1,empty,0
C-‚ -1,empty,0
D-‚ -1,empty,0
D-‚¤-3,empty,0
E-‚¤-3,empty,0
E-‚¦-1,empty,0
F-‚¢-3,empty,0
F-‚¤-3,empty,0
F-‚¦-3,empty,0
G-‚ -3,empty,0
H-‚ -3,empty,0
H-‚¢-3,empty,0
I-‚¢-1,empty,0
I-‚¤-1,empty,0
J-‚¢-1,empty,0
J-‚¤-1,empty,0
J-‚¤-3,empty,0
K-‚¦-3,empty,0
L-‚¦-1,empty,0
M-‚ -3,empty,0
M-‚¢-3,empty,0
M-‚¤-1,empty,0
N-‚ -1,empty,0
N-‚¤-3,empty,0
N-‚¦-1,empty,0
N-‚¦-3,empty,0
O-‚ -1,empty,0
O-‚¢-1,empty,0
O-‚¢-2,empty,0
O-‚¤-1,empty,0
O-‚¤-3,empty,0
P-‚¤-1,empty,0
P-‚¤-3,empty,0
P-‚¦-1,empty,0
P-‚¦-3,empty,0
Q-‚ -3,empty,0
Q-‚¢-3,empty,0
R-‚ -3,empty,0
R-‚¢-1,empty,0
R-‚¢-3,empty,0
S-‚ -1,empty,0
S-‚ -3,empty,0
S-‚¤-1,empty,0
T-‚ -1,empty,0
U-‚ -3,empty,0
U-‚¤-1,empty,0
U-‚¤-3,empty,0
U-‚¤-4,empty,0
U-‚¦-1,empty,0
U-‚¦-2,empty,0
U-‚¦-3,empty,0
U-‚¦-4,empty,0
W-‚¤-3,empty,0
W-‚¤-4,empty,0
W-‚¦-1,empty,0
W-‚¦-2,empty,0
W-‚¦-3,empty,0
W-‚¦-4,empty,0
X-‚ -1,empty,0
X-‚ -2,empty,0
X-‚ -3,empty,0
X-‚ -4,empty,0
X-‚¢-1,empty,0
X-‚¢-2,empty,0
X-‚¢-3,empty,0
X-‚¢-4,empty,0
X-‚¤-1,empty,0
X-‚¤-2,empty,0
X-‚¤-3,empty,0
X-‚¤-4,empty,0
X-‚¦-1,empty,0
X-‚¦-2,empty,0
X-‚¦-3,empty,0
X-‚¦-4,empty,0
